jaar_week;datum_maandag;gemeente;domein_code;regeling_code;zaaktype;ingediend_aantal;ingediend_cumul;beschikt_aantal;beschikt_cumul;toegekend_aantal;toegekend_cumul;afgewezen_aantal;afgewezen_cumul;anders_afgehandeld_aantal;anders_afgehandeld_cumul;afgerond_aantal;afgerond_cumul;besch_totaal_eur;besch_totaal_cumul_eur;besch_schade_eur;besch_schade_cumul_eur;bet_schade_eur;bet_schade_cumul_eur;bet_totaal_eur;bet_totaal_cumul_eur;aos_gegrond_aantal;aos_gegrond_cumul;laad_dt
;;Overig;FYSIEK;FS;BZ;1;1;0;0;0;0;0;0;0;0;0;0;2622,16;2622,16;1863,03;1863,03;1863,03;1863,03;2622,16;2622,16;;;2025-04-18T09:23:33
;;Overig;;;BZ;4;4;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
;;Overig;WDL;WD;BZ;3918;3918;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
;;Overig;IMS;IMK;IMK;6;6;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
;;Overig;IMS;IMS;IMS;511;511;0;0;0;0;0;0;0;0;0;0;796000;796000;796000;796000;461000;461000;796000;796000;;;2025-04-18T09:23:33
;;Overig;FYSIEK;FS;S;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;2025-04-18T09:23:33
;;Tynaarlo;FYSIEK;FS;S;1;1;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
;;Westerkwartier;FYSIEK;FS;S;2;2;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;;2025-04-18T09:23:33
2017_13;2017-03-27;Aa en Hunze;FYSIEK;FS;S;2;2;0;0;0;0;0;0;0;0;0;0;15000;15000;15000;15000;15000;15000;15000;15000;;;2025-04-18T09:23:33
2017_13;2017-03-27;Eemsdelta;FYSIEK;FS;S;9;9;0;0;0;0;0;0;0;0;0;0;188002,96;188002,96;173246,86;173246,86;177572,86;177572,86;192328,96;192328,96;;;2025-04-18T09:23:33
2017_13;2017-03-27;Groningen;FYSIEK;FS;S;27;27;0;0;0;0;0;0;0;0;0;0;513235,8618;513235,8618;475208,8518;475208,8518;472274,96;472274,96;510301,97;510301,97;;;2025-04-18T09:23:33
2017_13;2017-03-27;Het Hogeland;FYSIEK;FS;S;13;13;0;0;0;0;0;0;0;0;0;0;121485,82;121485,82;114079,54;114079,54;109001,51;109001,51;121485,82;121485,82;;;2025-04-18T09:23:33
